detector,experiment_id,node_id,injection_type,expected_metric,duration_seconds,detected,detection_delay_seconds,recovered,recovery_delay_seconds,peak_metric_value,first_fire_score,first_fire_metric,first_fire_samples_in_window,first_fire_detail
plain_zscore,jp-lisahost-20260422T103623Z-mem,jp-lisahost,memory_stress,memory_percent,30,true,42,true,42,40.78,60.0862,memory_percent,2,Memory z-score ≥ 3.0 (value 60.09)
plain_zscore,jp-lisahost-20260422T103849Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,false,0,60.13,0.0000,,0,
plain_zscore,jp-lisahost-20260422T104043Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,false,0,60.17,0.0000,,0,
plain_zscore,jp-lisahost-20260422T104318Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,true,857,59.88,0.0000,,0,
plain_zscore,jp-lisahost-20260422T104742Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,true,593,59.86,0.0000,,0,
plain_zscore,jp-lisahost-20260422T105208Z-mem,jp-lisahost,memory_stress,memory_percent,30,true,327,true,327,60.08,60.3053,memory_percent,11,Memory z-score ≥ 3.0 (value 60.31)
plain_zscore,jp-lisahost-20260422T105632Z-mem,jp-lisahost,memory_stress,memory_percent,60,true,63,true,33,59.98,60.3053,memory_percent,3,Memory z-score ≥ 3.0 (value 60.31)
plain_zscore,jp-lisahost-20260422T110123Z-mem,jp-lisahost,memory_stress,memory_percent,60,true,42,true,12,60.16,60.1572,memory_percent,2,Memory z-score ≥ 3.0 (value 60.16)
plain_zscore,jp-lisahost-20260422T110616Z-mem,jp-lisahost,memory_stress,memory_percent,60,false,0,false,0,60.19,0.0000,,0,
plain_zscore,jp-lisahost-20260422T111110Z-mem,jp-lisahost,memory_stress,memory_percent,150,false,0,false,0,60.47,0.0000,,0,
plain_zscore,jp-lisahost-20260422T111737Z-mem,jp-lisahost,memory_stress,memory_percent,150,false,0,false,0,60.38,0.0000,,0,
plain_zscore,jp-lisahost-20260422T112403Z-mem,jp-lisahost,memory_stress,memory_percent,150,false,0,false,0,60.41,0.0000,,0,
plain_zscore,jp-lisahost-20260422T113040Z-mem,jp-lisahost,memory_stress,memory_percent,300,false,0,false,0,60.50,0.0000,,0,
plain_zscore,jp-lisahost-20260422T113947Z-mem,jp-lisahost,memory_stress,memory_percent,300,false,0,false,0,60.35,0.0000,,0,
plain_zscore,jp-lisahost-20260422T114826Z-mem,jp-lisahost,memory_stress,memory_percent,300,false,0,false,0,60.33,0.0000,,0,
